lr,loss_train,accuracy_validation
0.0001,6.959677696228027,62.74
0.0001,6.019049644470215,62.74
0.0001,5.759865760803223,62.74
0.0001,5.191408157348633,62.74
0.0001,5.019956588745117,62.74
0.0001,4.617868900299072,62.74
0.0001,4.5533905029296875,62.74
0.0001,3.605438232421875,62.74
0.0001,4.41716194152832,62.74
0.0001,3.9799458980560303,62.74
0.0001,3.7669734954833984,62.74
0.0001,3.879502296447754,62.74
0.0001,3.6960620880126953,62.74
0.0001,4.117138862609863,62.74
0.0001,4.6891770362854,62.74
0.0001,3.6638259887695312,62.74
0.0001,3.7971765995025635,62.74
0.0001,3.934385061264038,62.74
0.0001,3.683999538421631,62.74
0.0001,4.326090335845947,62.74
0.0001,3.0434815883636475,62.74
0.0001,3.4603450298309326,62.74
0.0001,3.617567539215088,62.74
0.0001,3.0844483375549316,62.74
0.0001,3.4559834003448486,62.74
0.0001,3.5936450958251953,62.74
0.0001,3.2225937843322754,62.74
0.0001,2.7792863845825195,62.74
0.0001,3.3717501163482666,62.74
0.0001,3.486302375793457,62.74
0.0001,3.3386106491088867,62.74
0.0001,3.3549580574035645,62.74
0.0001,3.462360382080078,62.74
0.0001,3.3468289375305176,62.74
0.0001,3.0750505924224854,62.74
0.0001,3.21490740776062,62.74
0.0001,3.297008991241455,62.74
0.0001,2.8901543617248535,62.74
0.0001,2.8740289211273193,62.74
0.0001,3.436755895614624,62.74
0.0001,3.1415140628814697,62.74
0.0001,3.1348512172698975,62.74
0.0001,3.4553158283233643,62.74
0.0001,3.0464248657226562,62.74
0.0001,2.919459104537964,62.74
0.0001,2.5639402866363525,62.74
0.0001,2.677459955215454,62.74
0.0001,2.7386438846588135,62.74
0.0001,2.494062662124634,62.74
0.0001,3.298219919204712,62.74
0.0001,3.11833119392395,62.74
0.0001,2.806912660598755,62.74
0.0001,3.062680244445801,62.74
0.0001,2.654146432876587,62.74
0.0001,2.7498998641967773,62.74
0.0001,3.1164863109588623,62.74
0.0001,2.589857339859009,62.74
0.0001,2.4718542098999023,62.74
0.0001,3.15963077545166,62.74
0.0001,2.5255353450775146,62.74
0.0001,2.6588401794433594,62.74
0.0001,2.4855713844299316,62.74
0.0001,2.6159439086914062,62.74
0.0001,3.0283899307250977,62.74
0.0001,2.8608083724975586,62.74
0.0001,2.454233407974243,62.74
0.0001,2.4697306156158447,62.74
0.0001,2.8589017391204834,62.74
0.0001,3.0755910873413086,62.74
0.0001,2.3193490505218506,62.74
0.0001,2.372373342514038,62.74
0.0001,2.5334181785583496,62.74
0.0001,3.0265607833862305,62.74
0.0001,3.0492405891418457,62.74
0.0001,2.5957388877868652,62.74
0.0001,2.2918801307678223,62.74
0.0001,3.070049524307251,62.74
0.0001,2.387188673019409,62.74
0.0001,2.789064407348633,62.74
0.0001,2.5907645225524902,62.74
0.0001,3.3186638355255127,62.74
0.0001,2.333608388900757,62.74
0.0001,2.690610408782959,62.74
0.0001,2.236319065093994,62.74
0.0001,2.6587820053100586,62.74
0.0001,2.4894886016845703,62.74
0.0001,2.619771957397461,62.74
0.0001,2.362955331802368,62.74
0.0001,1.9435954093933105,62.74
0.0001,2.648399591445923,62.74
0.0001,2.47355318069458,62.74
0.0001,2.67753529548645,62.74
0.0001,2.4128494262695312,62.74
0.0001,2.265472173690796,62.74
0.0001,1.9110429286956787,62.74
0.0001,2.0336239337921143,62.74
0.0001,2.4454662799835205,62.74
0.0001,2.7519900798797607,62.74
0.0001,2.5036532878875732,62.74
0.0001,1.9443696737289429,62.74
0.0001,2.0927116870880127,62.74
0.0001,2.432096242904663,62.74
0.0001,1.9197235107421875,62.74
0.0001,2.7111854553222656,62.74
0.0001,2.5909860134124756,62.74
0.0001,2.7517735958099365,62.74
0.0001,2.846414566040039,62.74
0.0001,2.099414825439453,62.74
0.0001,2.0248701572418213,62.74
0.0001,2.5221900939941406,62.74
0.0001,2.199049949645996,62.74
0.0001,2.1177074909210205,62.74
0.0001,2.2755887508392334,62.74
0.0001,1.8426412343978882,62.74
0.0001,2.670314073562622,62.74
0.0001,2.093196153640747,62.74
0.0001,2.374629497528076,62.74
0.0001,2.5439417362213135,62.74
0.0001,2.6483612060546875,62.74
0.0001,2.2360832691192627,62.74
0.0001,1.9413578510284424,62.74
0.0001,2.0556704998016357,62.74
0.0001,2.2076492309570312,62.74
0.0001,1.9598075151443481,62.74
0.0001,2.048548460006714,62.74
0.0001,1.7103885412216187,62.74
0.0001,2.130964517593384,62.74
0.0001,2.1472954750061035,62.74
0.0001,2.4999659061431885,62.74
0.0001,1.9524000883102417,62.74
0.0001,2.338047504425049,62.74
0.0001,2.2459664344787598,62.74
0.0001,1.9360994100570679,62.74
0.0001,1.9201316833496094,62.74
0.0001,2.1881465911865234,62.74
0.0001,1.9730063676834106,62.74
0.0001,2.1383116245269775,62.74
0.0001,1.8423982858657837,62.74
0.0001,1.9731992483139038,62.74
0.0001,2.6423416137695312,62.74
0.0001,1.9670573472976685,62.74
0.0001,2.160433530807495,62.74
0.0001,2.1388931274414062,62.74
0.0001,2.0641496181488037,62.74
0.0001,1.9006503820419312,62.74
0.0001,1.8217476606369019,62.74
0.0001,2.3825690746307373,62.74
0.0001,2.053318738937378,62.74
0.0001,1.887725591659546,62.74
0.0001,1.878566026687622,62.74
0.0001,1.811907172203064,62.74
0.0001,1.9182820320129395,62.74
0.0001,1.7657994031906128,62.74
0.0001,1.7059720754623413,62.74
0.0001,1.6051424741744995,62.74
0.0001,1.8647654056549072,62.74
0.0001,1.7053685188293457,62.74
0.0001,1.5603456497192383,62.74
0.0001,1.6347887516021729,62.74
0.0001,2.207395315170288,62.74
0.0001,2.2260518074035645,62.74
0.0001,1.793737769126892,62.74
0.0001,1.7903965711593628,62.74
0.0001,1.5642576217651367,62.74
0.0001,1.894566297531128,62.74
0.0001,2.240773916244507,62.74
0.0001,2.0563228130340576,62.74
0.0001,2.108358383178711,62.74
0.0001,1.9146559238433838,62.74
0.0001,1.7107495069503784,62.74
0.0001,2.1940343379974365,62.74
0.0001,2.200101852416992,62.74
0.0001,2.0692055225372314,62.74
0.0001,1.9915478229522705,62.74
0.0001,2.3888893127441406,62.74
0.0001,1.663568377494812,62.74
0.0001,2.245889902114868,62.74
0.0001,2.1321778297424316,62.74
0.0001,2.115314245223999,62.74
0.0001,1.7102839946746826,62.74
0.0001,2.034677028656006,62.74
0.0001,2.2999207973480225,62.74
0.0001,1.5514962673187256,62.74
0.0001,2.0672945976257324,62.74
0.0001,1.8217555284500122,62.74
0.0001,1.937963843345642,62.74
0.0001,1.7585363388061523,62.74
0.0001,2.0206971168518066,62.74
0.0001,1.884211778640747,62.74
0.0001,1.6293423175811768,62.74
0.0001,1.8158462047576904,62.74
0.0001,2.00313401222229,62.74
0.0001,1.4709200859069824,62.74
0.0001,1.6490572690963745,62.74
0.0001,1.9885153770446777,62.74
0.0001,2.0527710914611816,62.74
0.0001,1.8133636713027954,62.74
0.0001,1.5888755321502686,62.74
0.0001,1.9749782085418701,62.74
0.0001,2.152024269104004,62.74
0.0001,1.9359769821166992,62.74
