lr,loss_train,accuracy_validation
1e-05,6.566997528076172,58.18
1e-05,6.9677581787109375,58.18
1e-05,6.841699123382568,58.18
1e-05,5.449036121368408,58.18
1e-05,7.019354820251465,58.18
1e-05,6.960099220275879,58.18
1e-05,6.271292686462402,58.18
1e-05,7.359713554382324,58.18
1e-05,5.922773838043213,58.18
1e-05,7.085923671722412,58.18
1e-05,6.22178840637207,58.18
1e-05,6.233277320861816,58.18
1e-05,6.900545120239258,58.18
1e-05,5.827342510223389,58.18
1e-05,6.224741458892822,58.18
1e-05,5.8391618728637695,58.18
1e-05,5.552811622619629,58.18
1e-05,5.409964084625244,58.18
1e-05,6.073021411895752,58.18
1e-05,5.665740013122559,58.18
1e-05,5.274094581604004,58.18
1e-05,5.926951885223389,58.18
1e-05,5.680688381195068,58.18
1e-05,5.291945934295654,58.18
1e-05,6.060719966888428,58.18
1e-05,6.280290126800537,58.18
1e-05,5.250804424285889,58.18
1e-05,4.16633939743042,58.18
1e-05,5.7007832527160645,58.18
1e-05,5.760205268859863,58.18
1e-05,5.163222789764404,58.18
1e-05,5.119904041290283,58.18
1e-05,4.576961517333984,58.18
1e-05,5.577136516571045,58.18
1e-05,4.499485492706299,58.18
1e-05,5.692714214324951,58.18
1e-05,4.846587657928467,58.18
1e-05,5.21504545211792,58.18
1e-05,5.28872537612915,58.18
1e-05,5.2504377365112305,58.18
1e-05,4.593923568725586,58.18
1e-05,4.064321041107178,58.18
1e-05,4.320591449737549,58.18
1e-05,4.95851469039917,58.18
1e-05,4.049454212188721,58.18
1e-05,4.8990092277526855,58.18
1e-05,5.063594341278076,58.18
1e-05,4.017174243927002,58.18
1e-05,4.977984428405762,58.18
1e-05,4.467518329620361,58.18
1e-05,4.502110004425049,58.18
1e-05,4.875126838684082,58.18
1e-05,4.3395795822143555,58.18
1e-05,4.281534194946289,58.18
1e-05,4.731077671051025,58.18
1e-05,4.622420787811279,58.18
1e-05,4.682339191436768,58.18
1e-05,5.256923675537109,58.18
1e-05,4.480001449584961,58.18
1e-05,3.949198007583618,58.18
1e-05,4.75223445892334,58.18
1e-05,4.959113597869873,58.18
1e-05,4.079685211181641,58.18
1e-05,4.007845878601074,58.18
1e-05,5.092495918273926,58.18
1e-05,4.932185649871826,58.18
1e-05,4.392906188964844,58.18
1e-05,4.805998802185059,58.18
1e-05,4.526459217071533,58.18
1e-05,4.565943241119385,58.18
1e-05,3.998659372329712,58.18
