lr,loss_train,accuracy_validation
0.001,2.7328007221221924,68.88
0.001,1.761759877204895,68.88
0.001,1.9642161130905151,68.88
0.001,1.6776942014694214,68.88
0.001,1.8216365575790405,68.88
0.001,1.6802482604980469,68.88
0.001,1.4661110639572144,68.88
0.001,1.8334718942642212,68.88
0.001,1.992343544960022,68.88
0.001,1.7191296815872192,68.88
0.001,1.6518638134002686,68.88
0.001,2.053560256958008,68.88
0.001,1.8295599222183228,68.88
0.001,1.8601863384246826,68.88
0.001,1.9913537502288818,68.88
0.001,1.6826945543289185,68.88
0.001,1.5061461925506592,68.88
0.001,1.6540255546569824,68.88
0.001,1.5446062088012695,68.88
0.001,1.6537528038024902,68.88
0.001,1.5470874309539795,68.88
0.001,1.5026659965515137,68.88
0.001,1.9125596284866333,68.88
0.001,1.712802529335022,68.88
0.001,1.64142644405365,68.88
0.001,1.6606264114379883,68.88
0.001,1.6682301759719849,68.88
0.001,1.4241737127304077,68.88
0.001,1.6058062314987183,68.88
0.001,1.2669532299041748,68.88
0.001,1.3649835586547852,68.88
0.001,1.7154656648635864,68.88
0.001,1.2633919715881348,68.88
0.001,1.459688425064087,68.88
0.001,1.47075355052948,68.88
0.001,1.6221693754196167,68.88
0.001,1.4332767724990845,68.88
0.001,1.4468621015548706,68.88
0.001,1.3750433921813965,68.88
0.001,1.4036405086517334,68.88
0.001,1.2619189023971558,68.88
0.001,1.214085340499878,68.88
0.001,1.1467387676239014,68.88
0.001,1.2040519714355469,68.88
0.001,1.287704586982727,68.88
0.001,1.1792595386505127,68.88
0.001,1.275390386581421,68.88
0.001,1.3258916139602661,68.88
0.001,1.2422101497650146,68.88
0.001,1.4260281324386597,68.88
0.001,1.4245359897613525,68.88
0.001,1.3716301918029785,68.88
0.001,1.1595443487167358,68.88
0.001,1.1111578941345215,68.88
0.001,1.0048234462738037,68.88
0.001,1.080528974533081,68.88
0.001,1.3055908679962158,68.88
0.001,1.0017834901809692,68.88
0.001,1.2553064823150635,68.88
0.001,1.1130865812301636,68.88
0.001,1.3401694297790527,68.88
0.001,1.0367240905761719,68.88
0.001,1.309065818786621,68.88
0.001,1.0737015008926392,68.88
0.001,0.9195482134819031,68.88
0.001,1.0087968111038208,68.88
0.001,1.014525055885315,68.88
0.001,0.9057591557502747,68.88
0.001,1.1290233135223389,68.88
0.001,1.3849388360977173,68.88
0.001,1.338276743888855,68.88
0.001,1.1619244813919067,68.88
0.001,1.3577461242675781,68.88
0.001,1.014938473701477,68.88
0.001,1.1389737129211426,68.88
0.001,1.0649514198303223,68.88
0.001,0.9314485788345337,68.88
0.001,0.9461789131164551,68.88
0.001,1.1509612798690796,68.88
0.001,1.2903711795806885,68.88
0.001,1.1247309446334839,68.88
0.001,1.061558723449707,68.88
0.001,1.0469719171524048,68.88
0.001,1.0864304304122925,68.88
0.001,1.1363741159439087,68.88
0.001,1.00836181640625,68.88
0.001,1.0138609409332275,68.88
0.001,1.0219215154647827,68.88
0.001,0.9842870831489563,68.88
0.001,0.9637210369110107,68.88
0.001,1.0419695377349854,68.88
0.001,1.059564232826233,68.88
0.001,0.9631216526031494,68.88
0.001,0.9078136086463928,68.88
0.001,0.9831674098968506,68.88
0.001,0.8125227093696594,68.88
0.001,0.9579684734344482,68.88
0.001,1.1977242231369019,68.88
0.001,0.9197953343391418,68.88
0.001,0.9326249957084656,68.88
0.001,1.0968629121780396,68.88
0.001,0.9882683157920837,68.88
0.001,0.8715535402297974,68.88
0.001,0.9143907427787781,68.88
0.001,0.8338108658790588,68.88
0.001,0.8877819776535034,68.88
0.001,0.984907865524292,68.88
0.001,0.9929086565971375,68.88
0.001,0.9939864873886108,68.88
0.001,1.0084707736968994,68.88
0.001,0.9460080862045288,68.88
0.001,0.964434802532196,68.88
0.001,0.9460315704345703,68.88
0.001,0.8341131806373596,68.88
0.001,0.8735129833221436,68.88
0.001,0.9629684686660767,68.88
0.001,1.2052435874938965,68.88
0.001,0.7630717158317566,68.88
0.001,1.0702149868011475,68.88
0.001,0.915099561214447,68.88
0.001,0.8305094242095947,68.88
0.001,1.077640175819397,68.88
0.001,0.964957594871521,68.88
0.001,0.8611050248146057,68.88
0.001,0.8491684198379517,68.88
0.001,0.8612514138221741,68.88
0.001,0.9161130785942078,68.88
0.001,0.8704582452774048,68.88
0.001,0.8702756762504578,68.88
0.001,0.9095664620399475,68.88
0.001,0.7140681147575378,68.88
0.001,0.9666330218315125,68.88
0.001,0.9689241647720337,68.88
0.001,0.864820122718811,68.88
0.001,1.0103909969329834,68.88
0.001,0.9291399121284485,68.88
0.001,0.975023627281189,68.88
0.001,0.8739417791366577,68.88
0.001,0.8575007319450378,68.88
0.001,1.018962025642395,68.88
0.001,0.892970860004425,68.88
0.001,0.7902413606643677,68.88
0.001,0.8836728930473328,68.88
0.001,0.6281630992889404,68.88
0.001,0.7769559025764465,68.88
0.001,0.8086110353469849,68.88
0.001,0.8342497944831848,68.88
0.001,0.8783972263336182,68.88
0.001,0.76407790184021,68.88
0.001,0.7837302684783936,68.88
0.001,0.8003010749816895,68.88
