lr,loss_train,accuracy_validation
1e-05,2.9620110988616943,82.64
1e-05,3.288999319076538,82.64
1e-05,2.19142484664917,82.64
1e-05,2.638150215148926,82.64
1e-05,2.378469705581665,82.64
1e-05,2.5772202014923096,82.64
1e-05,2.6105382442474365,82.64
1e-05,2.643444299697876,82.64
1e-05,2.373624563217163,82.64
1e-05,2.321413516998291,82.64
1e-05,2.308321714401245,82.64
1e-05,2.301319122314453,82.64
1e-05,2.203348398208618,82.64
1e-05,2.2836148738861084,82.64
1e-05,2.025669813156128,82.64
1e-05,2.2540647983551025,82.64
1e-05,2.7306478023529053,82.64
1e-05,2.34952712059021,82.64
1e-05,2.280336618423462,82.64
1e-05,2.205362558364868,82.64
1e-05,2.4002737998962402,82.64
1e-05,2.1765780448913574,82.64
1e-05,2.178732395172119,82.64
1e-05,1.8881964683532715,82.64
1e-05,2.0019326210021973,82.64
1e-05,2.1207058429718018,82.64
1e-05,2.1013007164001465,82.64
1e-05,2.358830690383911,82.64
1e-05,2.1601672172546387,82.64
1e-05,2.074186325073242,82.64
1e-05,2.370896577835083,82.64
1e-05,2.057501792907715,82.64
1e-05,2.0836989879608154,82.64
1e-05,1.6711081266403198,82.64
1e-05,2.050290107727051,82.64
1e-05,1.8568546772003174,82.64
1e-05,2.008197069168091,82.64
1e-05,1.9069159030914307,82.64
1e-05,2.152693748474121,82.64
1e-05,2.1203134059906006,82.64
1e-05,2.048975706100464,82.64
1e-05,1.7734586000442505,82.64
1e-05,1.9342153072357178,82.64
1e-05,1.6632061004638672,82.64
1e-05,1.8490430116653442,82.64
1e-05,1.7867339849472046,82.64
1e-05,1.631963849067688,82.64
1e-05,2.0349209308624268,82.64
1e-05,1.9694527387619019,82.64
1e-05,1.8317502737045288,82.64
1e-05,1.824946641921997,82.64
1e-05,1.9234492778778076,82.64
1e-05,1.8953230381011963,82.64
1e-05,1.5563952922821045,82.64
1e-05,2.1608822345733643,82.64
1e-05,1.7983208894729614,82.64
1e-05,1.5244144201278687,82.64
1e-05,1.639348030090332,82.64
1e-05,1.514530897140503,82.64
1e-05,1.8500847816467285,82.64
1e-05,1.396307349205017,82.64
1e-05,1.6879349946975708,82.64
1e-05,1.683948278427124,82.64
1e-05,1.796091079711914,82.64
1e-05,1.6766146421432495,82.64
1e-05,1.7888177633285522,82.64
1e-05,1.8810007572174072,82.64
1e-05,1.577299952507019,82.64
1e-05,1.718281626701355,82.64
1e-05,1.8152459859848022,82.64
1e-05,1.7118178606033325,82.64
1e-05,1.764611840248108,82.64
1e-05,1.653660535812378,82.64
1e-05,1.6977009773254395,82.64
1e-05,1.505202293395996,82.64
1e-05,1.7817163467407227,82.64
1e-05,1.8326985836029053,82.64
1e-05,1.8967012166976929,82.64
1e-05,1.601743221282959,82.64
1e-05,1.8539886474609375,82.64
1e-05,1.5703076124191284,82.64
1e-05,1.516141414642334,82.64
1e-05,1.7193241119384766,82.64
1e-05,1.5141834020614624,82.64
1e-05,1.4720450639724731,82.64
1e-05,1.793479561805725,82.64
1e-05,1.6870145797729492,82.64
1e-05,1.2084118127822876,82.64
1e-05,1.4974616765975952,82.64
1e-05,1.4368304014205933,82.64
1e-05,1.6869311332702637,82.64
1e-05,1.4401094913482666,82.64
1e-05,1.684975504875183,82.64
1e-05,1.8440390825271606,82.64
1e-05,1.763611912727356,82.64
1e-05,1.530823826789856,82.64
1e-05,1.4538490772247314,82.64
1e-05,1.5277498960494995,82.64
1e-05,1.5481750965118408,82.64
1e-05,1.5409139394760132,82.64
1e-05,1.549239158630371,82.64
1e-05,1.7100306749343872,82.64
1e-05,1.574207067489624,82.64
1e-05,1.642292857170105,82.64
1e-05,1.5687719583511353,82.64
1e-05,1.6231203079223633,82.64
1e-05,1.427511215209961,82.64
1e-05,1.29157292842865,82.64
1e-05,1.6235278844833374,82.64
1e-05,1.4236372709274292,82.64
1e-05,1.494177222251892,82.64
1e-05,1.390902042388916,82.64
1e-05,1.4034762382507324,82.64
1e-05,1.4809597730636597,82.64
1e-05,1.5894917249679565,82.64
1e-05,1.4310213327407837,82.64
1e-05,1.3413807153701782,82.64
1e-05,1.718258023262024,82.64
1e-05,1.5216768980026245,82.64
1e-05,1.4957698583602905,82.64
1e-05,1.431965947151184,82.64
1e-05,1.4576871395111084,82.64
1e-05,1.4149882793426514,82.64
1e-05,1.5831190347671509,82.64
1e-05,1.1249516010284424,82.64
1e-05,1.4755219221115112,82.64
1e-05,1.4462884664535522,82.64
1e-05,1.5146912336349487,82.64
1e-05,1.8632018566131592,82.64
1e-05,1.5226881504058838,82.64
1e-05,1.577242374420166,82.64
1e-05,1.6391708850860596,82.64
1e-05,1.637141466140747,82.64
1e-05,1.454351782798767,82.64
1e-05,1.35579252243042,82.64
1e-05,1.3344154357910156,82.64
1e-05,1.1866379976272583,82.64
1e-05,1.3885935544967651,82.64
1e-05,1.6717623472213745,82.64
1e-05,1.544040322303772,82.64
1e-05,1.4979655742645264,82.64
1e-05,1.3898707628250122,82.64
1e-05,1.3200503587722778,82.64
1e-05,1.3395642042160034,82.64
1e-05,1.28630793094635,82.64
1e-05,1.4134457111358643,82.64
1e-05,1.3203175067901611,82.64
1e-05,1.4443494081497192,82.64
1e-05,1.5237332582473755,82.64
1e-05,1.3879584074020386,82.64
1e-05,1.4206492900848389,82.64
1e-05,1.5845764875411987,82.64
1e-05,1.5927845239639282,82.64
1e-05,1.3864622116088867,82.64
1e-05,1.4526740312576294,82.64
1e-05,1.264879584312439,82.64
1e-05,1.2142226696014404,82.64
1e-05,1.4712519645690918,82.64
1e-05,1.5432664155960083,82.64
1e-05,1.5689029693603516,82.64
1e-05,1.2997902631759644,82.64
1e-05,1.1029174327850342,82.64
1e-05,1.4420409202575684,82.64
1e-05,1.5690350532531738,82.64
1e-05,1.292531132698059,82.64
1e-05,1.4586679935455322,82.64
1e-05,1.2549971342086792,82.64
1e-05,1.2589131593704224,82.64
1e-05,1.4625920057296753,82.64
1e-05,1.2118866443634033,82.64
1e-05,1.0595523118972778,82.64
1e-05,1.1942121982574463,82.64
1e-05,1.355749249458313,82.64
1e-05,1.3183767795562744,82.64
1e-05,1.3312863111495972,82.64
1e-05,1.456990361213684,82.64
1e-05,1.6341021060943604,82.64
1e-05,1.2978155612945557,82.64
1e-05,1.3163795471191406,82.64
1e-05,1.2904928922653198,82.64
1e-05,1.5051803588867188,82.64
1e-05,1.319487452507019,82.64
1e-05,1.3920691013336182,82.64
1e-05,1.3284541368484497,82.64
1e-05,1.3371485471725464,82.64
1e-05,1.3810430765151978,82.64
1e-05,1.180684208869934,82.64
1e-05,1.1916009187698364,82.64
1e-05,1.41838800907135,82.64
1e-05,1.2371050119400024,82.64
1e-05,1.236314296722412,82.64
