weight1,weight2,weight3,weight4,weight5,weight_change1,weight_change2,weight_change3,weight_change4,weight_change5,accuracy_after_train_true,accuracy_after_train_false
1.0,1.1,1.2,1.3,1.4,0.9487478137016296,1.0685234069824219,1.1642237901687622,1.2664978504180908,1.3586580753326416,63.88,61.88
1.0,1.2,1.4,1.6,1.8,0.9492653012275696,1.167181372642517,1.363458514213562,1.5657680034637451,1.7564839124679565,59.1,63.94
1.0,1.3,1.6,1.9,2.2,0.9514757394790649,1.2670468091964722,1.5634649991989136,1.865765929222107,2.155538558959961,60.54,62.96
1.0,1.4,1.8,2.2,2.6,0.9496740102767944,1.3658727407455444,1.7630715370178223,2.165278196334839,2.554309844970703,60.46,61.46
1.0,1.5,2.0,2.5,3.0,0.950698733329773,1.4658911228179932,1.9624603986740112,2.464709520339966,2.954317569732666,60.68,60.22
1.0,1.6,2.2,2.8,3.4,0.9498594403266907,1.5641920566558838,2.1619837284088135,2.7645599842071533,3.353407144546509,59.88,61.42
1.0,1.7,2.4,3.1,3.8,0.9501305818557739,1.6647793054580688,2.3623342514038086,3.0641462802886963,3.75384259223938,62.0,64.48
1.0,1.8,2.6,3.4,4.2,0.9513739943504333,1.763316035270691,2.5613675117492676,3.36419415473938,4.153383255004883,60.54,59.74
1.0,1.9,2.8,3.7,4.6,0.9513329267501831,1.8649885654449463,2.761106491088867,3.664386510848999,4.553798675537109,63.16,62.86
1.0,2.0,3.0,4.0,5.0,0.9511446356773376,1.9642738103866577,2.9620864391326904,3.9652976989746094,4.953303813934326,62.74,60.62
1.0,2.1,3.2,4.3,5.4,0.9515239596366882,2.0639874935150146,3.1613152027130127,4.2645182609558105,5.352991104125977,59.32,60.42
1.0,2.2,3.4,4.6,5.8,0.9501005411148071,2.1616830825805664,3.359985589981079,4.563755989074707,5.753533840179443,59.84,62.84
1.0,2.3,3.6,4.9,6.2,0.9514512419700623,2.2631149291992188,3.5611798763275146,4.864195346832275,6.153088569641113,58.32,62.38
1.0,2.4,3.8,5.2,6.6,0.9518631100654602,2.3630459308624268,3.762032985687256,5.164237976074219,6.553365707397461,61.72,61.4
1.0,2.5,4.0,5.5,7.0,0.9509379863739014,2.4625418186187744,3.961179733276367,5.464044094085693,6.952432155609131,60.92,63.12
1.0,2.6,4.2,5.8,7.4,0.9516758918762207,2.5643248558044434,4.16201639175415,5.76437520980835,7.3532490730285645,59.74,62.04
1.0,2.7,4.4,6.1,7.8,0.9517406821250916,2.662914514541626,4.361727237701416,6.064418792724609,7.753779411315918,62.42,61.86
1.0,2.8,4.6,6.4,8.2,0.952086329460144,2.763744592666626,4.561202526092529,6.364765167236328,8.152660369873047,61.22,61.86
1.0,2.9,4.8,6.7,8.6,0.9524856209754944,2.862588405609131,4.760290145874023,6.663748264312744,8.553863525390625,62.68,63.52
