lr,loss_train,accuracy_validation
0.0001,2.2503793239593506,83.02
0.0001,2.1301827430725098,83.02
0.0001,2.108983278274536,83.02
0.0001,1.840780258178711,83.02
0.0001,1.6966458559036255,83.02
0.0001,1.899048924446106,83.02
0.0001,1.909746527671814,83.02
0.0001,1.6520191431045532,83.02
0.0001,1.563600778579712,83.02
0.0001,1.5580447912216187,83.02
0.0001,1.4453877210617065,83.02
0.0001,1.5464738607406616,83.02
0.0001,1.6669279336929321,83.02
0.0001,1.377336025238037,83.02
0.0001,1.4163222312927246,83.02
0.0001,1.5921874046325684,83.02
0.0001,1.7129476070404053,83.02
0.0001,1.9562867879867554,83.02
0.0001,1.5241631269454956,83.02
0.0001,1.430168867111206,83.02
0.0001,1.4467971324920654,83.02
0.0001,1.230604648590088,83.02
0.0001,1.6163949966430664,83.02
0.0001,1.3207921981811523,83.02
0.0001,1.2913538217544556,83.02
0.0001,1.1948736906051636,83.02
0.0001,1.5305315256118774,83.02
0.0001,1.1110624074935913,83.02
0.0001,1.4558335542678833,83.02
0.0001,1.1963449716567993,83.02
0.0001,1.0515685081481934,83.02
0.0001,1.0189361572265625,83.02
0.0001,1.290304183959961,83.02
0.0001,1.1403076648712158,83.02
0.0001,1.448443055152893,83.02
0.0001,1.412980556488037,83.02
0.0001,1.085237979888916,83.02
0.0001,1.1002713441848755,83.02
0.0001,1.086017370223999,83.02
0.0001,1.2629594802856445,83.02
0.0001,1.1361768245697021,83.02
0.0001,1.0150816440582275,83.02
0.0001,1.1912546157836914,83.02
0.0001,1.1532186269760132,83.02
0.0001,0.8221724629402161,83.02
0.0001,0.9496762156486511,83.02
0.0001,1.2177611589431763,83.02
0.0001,1.0881545543670654,83.02
0.0001,1.07508385181427,83.02
0.0001,1.2776389122009277,83.02
0.0001,1.2151110172271729,83.02
0.0001,0.9783087968826294,83.02
0.0001,1.2029398679733276,83.02
0.0001,1.0181496143341064,83.02
0.0001,1.1053086519241333,83.02
0.0001,1.0764349699020386,83.02
0.0001,0.9744771122932434,83.02
0.0001,1.2382397651672363,83.02
0.0001,0.9583010673522949,83.02
0.0001,0.7949775457382202,83.02
0.0001,1.209559679031372,83.02
0.0001,1.2130144834518433,83.02
0.0001,0.852016270160675,83.02
0.0001,0.8611748218536377,83.02
0.0001,1.0179418325424194,83.02
0.0001,1.0635654926300049,83.02
0.0001,0.8646311163902283,83.02
0.0001,0.909288227558136,83.02
0.0001,1.0326645374298096,83.02
0.0001,0.9787206053733826,83.02
0.0001,0.954384982585907,83.02
0.0001,0.855756402015686,83.02
0.0001,0.924694836139679,83.02
0.0001,0.9309589862823486,83.02
0.0001,0.8016857504844666,83.02
0.0001,0.8303442001342773,83.02
0.0001,0.8639262914657593,83.02
0.0001,0.9380262494087219,83.02
0.0001,0.8756951689720154,83.02
0.0001,0.7714155316352844,83.02
0.0001,1.0107989311218262,83.02
0.0001,0.9137868285179138,83.02
0.0001,1.1262233257293701,83.02
0.0001,1.0011283159255981,83.02
0.0001,0.9360604882240295,83.02
0.0001,0.9336552023887634,83.02
0.0001,0.5327287912368774,83.02
0.0001,0.8339357376098633,83.02
0.0001,0.6899492144584656,83.02
0.0001,0.7369670867919922,83.02
0.0001,0.9163432717323303,83.02
0.0001,0.9191573858261108,83.02
0.0001,0.868976354598999,83.02
0.0001,0.955266535282135,83.02
0.0001,1.0327075719833374,83.02
0.0001,0.936741828918457,83.02
0.0001,1.0302726030349731,83.02
0.0001,0.739920437335968,83.02
0.0001,0.8250875473022461,83.02
0.0001,0.8182953000068665,83.02
0.0001,1.072526216506958,83.02
0.0001,0.7651913166046143,83.02
0.0001,0.7816221714019775,83.02
0.0001,0.6850656270980835,83.02
0.0001,0.8657299876213074,83.02
0.0001,0.7504825592041016,83.02
0.0001,0.8917757272720337,83.02
0.0001,0.7316045761108398,83.02
0.0001,1.0456241369247437,83.02
0.0001,0.7117579579353333,83.02
