lr,loss_train,accuracy_validation
1e-05,2.451218366622925,82.86
1e-05,2.7531073093414307,82.86
1e-05,2.3394994735717773,82.86
1e-05,2.184969425201416,82.86
1e-05,2.4632883071899414,82.86
1e-05,2.2334744930267334,82.86
1e-05,2.471829891204834,82.86
1e-05,2.111236572265625,82.86
1e-05,2.2152016162872314,82.86
1e-05,2.6428444385528564,82.86
1e-05,2.3053994178771973,82.86
1e-05,2.4633865356445312,82.86
1e-05,1.8009427785873413,82.86
1e-05,1.997101902961731,82.86
1e-05,1.9021471738815308,82.86
1e-05,2.2550318241119385,82.86
1e-05,2.0913310050964355,82.86
1e-05,2.2293593883514404,82.86
1e-05,2.0434224605560303,82.86
1e-05,1.574498176574707,82.86
1e-05,1.9118841886520386,82.86
1e-05,1.873998761177063,82.86
1e-05,1.8666127920150757,82.86
1e-05,1.946540355682373,82.86
1e-05,1.977866768836975,82.86
1e-05,1.7727667093276978,82.86
1e-05,1.9290419816970825,82.86
1e-05,1.8558180332183838,82.86
1e-05,1.949442744255066,82.86
1e-05,2.3773176670074463,82.86
1e-05,1.8264434337615967,82.86
1e-05,1.8947137594223022,82.86
1e-05,1.6266422271728516,82.86
1e-05,1.812242031097412,82.86
1e-05,1.9284539222717285,82.86
1e-05,1.8932431936264038,82.86
1e-05,1.725279688835144,82.86
1e-05,1.8059242963790894,82.86
1e-05,1.9784584045410156,82.86
1e-05,1.6149011850357056,82.86
1e-05,1.9695175886154175,82.86
1e-05,1.8911190032958984,82.86
1e-05,1.9829360246658325,82.86
1e-05,1.8718355894088745,82.86
1e-05,1.6829806566238403,82.86
1e-05,2.0241150856018066,82.86
1e-05,1.758830189704895,82.86
1e-05,1.9713834524154663,82.86
1e-05,2.0771093368530273,82.86
1e-05,1.5790032148361206,82.86
1e-05,1.5574817657470703,82.86
1e-05,1.7639906406402588,82.86
1e-05,1.572739839553833,82.86
1e-05,1.875797986984253,82.86
1e-05,1.7579797506332397,82.86
1e-05,1.7788527011871338,82.86
1e-05,1.8277852535247803,82.86
1e-05,1.791870355606079,82.86
1e-05,1.8030558824539185,82.86
1e-05,1.9286450147628784,82.86
1e-05,1.7666698694229126,82.86
1e-05,1.68017578125,82.86
1e-05,1.955172061920166,82.86
1e-05,1.8331036567687988,82.86
1e-05,1.7663623094558716,82.86
1e-05,1.6684199571609497,82.86
1e-05,1.4963233470916748,82.86
1e-05,1.8803679943084717,82.86
1e-05,1.8589327335357666,82.86
1e-05,1.8213950395584106,82.86
1e-05,2.010695695877075,82.86
1e-05,1.816521406173706,82.86
1e-05,1.7518739700317383,82.86
1e-05,2.064833164215088,82.86
1e-05,1.6112658977508545,82.86
1e-05,1.9037277698516846,82.86
1e-05,1.54008948802948,82.86
1e-05,1.5949209928512573,82.86
1e-05,1.7467869520187378,82.86
1e-05,1.7544203996658325,82.86
1e-05,1.470942497253418,82.86
1e-05,1.8220330476760864,82.86
